text,id
jRAT can capture microphone recordings., T1123 
Machete captures audio from the computer?????s microphone., T1123 
MacSpy can record the sounds from microphones on a computer., T1123 
Micropsia can perform microphone recording., T1123 
NanoCore can capture audio feeds from the system., T1123 
PowerSploit's Get-MicrophoneAudio Exfiltration module can record system microphone audio., T1123 
Pupy can record sound with the microphone., T1123 
Remcos can capture data from the system?????s microphone., T1123 
T9000 uses the Skype API to record audio and video calls., T1123 
It writes encrypted data to directory, T1123 
VERMIN can perform audio capture., T1123 
Flame can use Windows Authentication Packages for persistence., T1131 
APT1 used a batch script to perform a series of discovery techniques and saves it to a text file., T1119 
APT28 used a publicly available tool to gather and compress multiple documents on the DCCC and DNC networks., T1119 
BADNEWS monitors USB devices and copies files with certain extensions toa predefined directory., T1119 
Bankshot recursively generates a list of files within a directory and sends them back to the control server., T1119 
Comnie executes a batch script to store discovery information in directory, T1119 
FIN5 scans processes on all victim systems in the environment and uses automated scripts to pull back the results., T1119 
"FIN6 has used a script to iterate through a list of compromised PoS systems, copy data to a log file, and remove the original data files.", T1119 
A Helminth VBScript receives a batch script to execute a set of commands in a command prompt., T1119 
"Each time a new drive is inserted, InvisiMole generates a list of all files on the drive and stores it in an encrypted file.", T1119 
LightNeuron can be configured to automatically collect files under a specified directory., T1119 
Micropsia executes an RAR tool to recursively archive files based on a predefined list of file extensions  ., T1119 
OilRig has used automated collection., T1119 
Patchwork developed a file stealer to search directory, T1119 
"Patchwork also executed a script to enumerate all drives, store them as a list, and upload generated files to the C2 server.", T1119 
PoshC2 contains a module for recursively parsing through files and directories to gather valid credit card numbers., T1119 
Proxysvc automatically collects data about the victim and sends it to the control server., T1119 
Rover automatically collects files from the local system and removable drives based on a predefined list of file extensions on a regular timeframe., T1119 
RTM monitors browsing activity and automatically captures screenshots if a victim browses to a URL matching one of a list of strings., T1119 
T9000 searches removable storage devices for files with a pre-defined list of file extensions (e.g., T1119 
Any matching files are encrypted and written to a local user directory., T1119 
Threat Group-3390 ran a command to compile an archive of file types of interest from the victim user's directories., T1119 
"For all non-removable drives on a victim, USBStealer executes automated collection of certain files for later exfiltration.", T1119 
VERMIN saves each collected file with the automatically generated format {0:dd-MM-yyyy}  ., T1119 
"Zebrocy scans the system and automatically collects files with the following extension   ,  x, , ,  x,  ,  x,  ,  ,  ,  g,  ,  f,  ,  ,  , .cr,  ,  , and  .", T1119 
CosmicDuke exfiltrates collected files automatically over FTP to remote servers., T1020 
Honeybee performs data exfiltration is accomplished through the following command-line comman  from    ., T1020 
LightNeuron can be configured to automatically exfiltrate files under a specified directory., T1020 
Machete?????s collected files are exfiltrated automatically to remote servers., T1020 
Rover automatically searches for files on local drives based on a predefined list of file extensions and sends them to the command and control server every 60 minutes., T1020 
Rover also automatically sends keylogger files and screenshots to the C2 server on a regular timeframe., T1020 
"When a document is found matching one of the extensions in the configuration, TINYTYPHON uploads it to the C2 server.", T1020 
USBStealer automatically exfiltrates collected files via removable media when an infected device is connected to the second victim after receiving commands from the first victim., T1020 
"There are multiple methods of preventing a user's command history from being flushed to their  h_history file, including use of the following command  +o history and set -o history to start logging again;unset HISTFILE being added to a user's  h_rc file; andln -s directory ~directory to write commands to directory", T1139 
APT32 includes garbage code to mislead anti-malware software and researchers., T1009 
"BRONZE BUTLER downloader code has included ""0"" characters at the end of the file to inflate the file size in a likely attempt to evade anti-virus detection.", T1009 
Comnie appends a total of 64MB of garbage data to a file to deter any security products in place that may be scanning files on disk., T1009 
CORESHELL contains unused machine instructions in a likely attempt to hinder analysis., T1009 
A variant of Emissary appends junk data to the end of its DLL file to create a large file that may exceed the maximum size that anti-virus programs can scan., T1009 
FinFisher contains junk code in its functions in an effort to confuse disassembly programs., T1009 
"Before writing to disk, Kwampirs inserts a randomly generated string into the middle of the decrypted payload in an attempt to evade hash-based detections.", T1009 
"Leviathan has inserted garbage characters into code, presumably to avoid anti-virus detection.", T1009 
Moafee has been known to employ binary padding., T1009 
Patchwork apparently altered NDiskMonitor samples by adding four bytes of random letters in a likely attempt to change the file hashes., T1009 
SamSam has used garbage code to pad some of its malware components., T1009 
A version of XTunnel introduced in July 2015 inserted junk code into the binary in a likely attempt to obfuscate it and bypass security products., T1009 
"yty contains junk code in its binary, likely to confuse malware analysts.", T1009 
ZeroT has obfuscated DLLs and functions using dummy API calls inserted between real instructions., T1009 
BITSAdmin can be used to create BITS Jobs to launch a malicious process., T1197 
"Cobalt Strike can download a hosted ""beacon"" payload using BITSAdmin.", T1197 
A JPIN variant downloads the backdoor payload via the BITS service., T1197 
Leviathan has used BITSAdmin to download additional tools., T1197 
UBoatRAT takes advantage of the directory option in BITSAdmin to ensure it stays running on a system to maintain persistence., T1197 
APT28 has deployed a bootkit along with Downdelph to ensure its persistence on the victim., T1067 
APT41 deployed Master Boot Record bootkits on Windows systems to hide their malware and maintain persistence on victim systems., T1067 
BOOTRASH is a Volume Boot Record   bootkit that uses the VBR to maintain persistence., T1067 
Some FinFisher variants incorporate an MBR rootkit., T1067 
Lazarus Group malware WhiskeyAlfa-Three modifies sector 0 of the Master Boot Record   to ensure that the malware will persist even if a victim machine shuts down., T1067 
ROCKBOOT is a Master Boot Record   bootkit that uses the MBR to establish persistence., T1067 
Calisto collects information on bookmarks from Google Chrome., T1217 
Empire has the ability to gather browser data such as bookmarks and visited sites., T1217 
Machete retrieves the user profile data   from Chrome and Firefox browsers., T1217 
MobileOrder has a command to upload to its C2 server victim browser bookmarks., T1217 
Kimsuky has used a Google Chrome extension to infect victims and steal passwords and cookies from their browsers., T1176 
OSX/Shlayer can install malicious Safari browser extensions to serve ads., T1176 
Stolen Pencil victims are prompted to install malicious Google Chrome extensions which gave the threat actor the ability to read data from any website accessed., T1176 
APT3 has been known to brute force password hashes to be able to leverage plain text credentials., T1110 
APT33 has used password spraying to gain access to target systems., T1110 
APT41 performed password brute-force attacks on the local admin account., T1110 
Chaos conducts brute force attacks against SSH services to gain initial access., T1110 
China Chopper's server component can perform brute force password guessing against authentication portals., T1110 
"Dragonfly 2.0 dropped and executed tools used for password cracking, including Hydra.", T1110 
Emotet has been observed using a hard coded list of passwords to brute force user accounts., T1110 
"Lazarus Group malware attempts to connect to Windows shares for lateral movement by using a generated list of usernames, which center around permutations of the username Administrator, and weak passwords.", T1110 
Leafminer used a tool called BruteForcer to perform a brute force attack., T1110 
Linux Rabbit brute forces SSH passwords in order to attempt to gain access and install its malware onto the server., T1110 
MailSniper can be used for password spraying against Exchange and Office 365., T1110 
Net Crawler uses a list of known credentials gathered through credential dumping to guess passwords to accounts as it spreads throughout a network., T1110 
OilRig has used brute force techniques to obtain credentials., T1110 
PoshC2 has modules for brute forcing local administrator and AD user accounts., T1110 
SpeakUp can perform brute forcing using a pre-defined list of usernames and passwords in an attempt to log in to administrative panels., T1110 
Turla may attempt to connect to systems within a victim's network using net use commands and a predefined list or collection of passwords., T1110 
Xbash can obtain a list of weak passwords from the C2 server to use for brute forcing as well as attempt to brute force services with open ports., T1110 
APT29 has bypassed UAC., T1088 
APT37 has a function in the initial dropper to bypass Windows UAC in order to execute the next payload with higher privileges., T1088 
AutoIt backdoor attempts to escalate privileges by bypassing User Access Control., T1088 
BlackEnergy attempts to bypass default User Access Control   settings by exploiting a backward-compatibility setting found in Windows 7 and later., T1088 
BRONZE BUTLER malware xxmm contains a UAC bypass tool for privilege escalation., T1088 
Cobalt Group has bypassed UAC., T1088 
Cobalt Strike can use a number of known techniques to bypass Windows UAC., T1088 
Downdelph bypasses UAC to escalate privileges by using a custom ?????RedirectEXE?????shim database., T1088 
Empire includes various modules to attempt to bypass UAC for escalation of privileges., T1088 
FinFisher performs UAC bypass., T1088 
H1N1 bypasses user access control by using a DLL hijacking vulnerability in the Windows Update Standalone Installer  ., T1088 
Honeybee uses a combination of NTWDBLIB  and cliconfg  to bypass UAC protections using DLL hijacking., T1088 
InvisiMole can bypass UAC and create an elevated COM object to escalate privileges., T1088 
Koadic has 2 methods for elevating integrity., T1088 
It can bypass UAC through eventvwr  and sdclt ., T1088 
MuddyWater uses various techniques to bypass UAC., T1088 
Patchwork bypassed User Access Control  ., T1088 
An older variant of PLAINTEE performs UAC bypass., T1088 
PoshC2 can utilize multiple methods to bypass UAC., T1088 
"Pupy can bypass Windows UAC through either DLL hijacking, eventvwr, or appPaths.", T1088 
"RTM can attempt to run the program as admin, then show a fake error message and a legitimate UAC bypass prompt to the user in an attempt to socially engineer the user into escalating privileges.", T1088 
Sakula contains UAC bypass code for both 32- and 64-bit systems., T1088 
Shamoon attempts to disable UAC remote restrictions by modifying the Registry., T1088 
A Threat Group-3390 tool can use a public UAC bypass method to elevate privileges., T1088 
UACMe contains many methods for bypassing Windows User Account Control on multiple versions of the operating system., T1088 
Many ZeroT samples can perform UAC bypass by using eventvwr  to execute a malicious file., T1088 
Kimsuky has a HWP document stealer module which changes the default program association in the registry to open HWP documents., T1042 
APT41 attempted to remove evidence of some of its activity by deleting Bash histories., T1146 
Agent Tesla can steal data from the victim?????s clipboard., T1115 
APT38 used a Trojan called KEYLIME to collect data from the clipboard., T1115 
Astaroth collects information from the clipboard by using the OpenClipboard  and GetClipboardData  libraries., T1115 
Catchamas steals data stored in the clipboard., T1115 
CosmicDuke copies and exfiltrates the clipboard contents every 30 seconds., T1115 
DarkComet can steal data from the clipboard., T1115 
Empire can harvest clipboard data on both Windows and macOS systems., T1115 
The executable version of Helminth has a module to log clipboard contents., T1115 
A JHUHUGIT variant accesses a screenshot saved in the clipboard and converts it to a JPG image., T1115 
jRAT can capture clipboard data., T1115 
Koadic can retrieve the current content of the user clipboard., T1115 
KONNI had a feature to steal data from the clipboard., T1115 
Machete hijacks the clipboard data by creating an overlapped window that listens to keyboard events., T1115 
MacSpy can steal clipboard contents., T1115 
Remcos steals and modifies data from the clipboard., T1115 
Remexi collects text from the clipboard., T1115 
RTM collects data from the clipboard., T1115 
RunningRAT contains code to open and copy data from the clipboard., T1115 
TinyZBot contains functionality to collect information from the clipboard., T1115 
VERMIN collects data stored in the clipboard., T1115 
Zeus Panda can hook GetClipboardData function to watch for clipboard pastes to collect., T1115 
Limit access to the Instance Metadata API using a host-based firewall such as iptables., T1522 
A properly configured Web Application Firewall   may help prevent external adversaries from exploiting Server-side Request Forgery   attacks that allow access to the Cloud Instance Metadata API., T1522 
Enforce the principle of least-privilege by limiting dashboard visibility to only the resources required., T1538 
This may limit the discovery value of the dashboard in the event of a compromised account., T1538 
Cobalt Group has used the command cmstp  directory directory directory, T1191 
MuddyWater has used CMSTP  and a malicious INF to execute its POWERSTATS payload., T1191 
APT37 has signed its malware with an invalid digital certificates listed as ?????Tencent Technology   Company Limited.????? , T1116 
APT41 leveraged code-signing certificates to sign malware when targeting both gaming and non-gaming organizations., T1116 
BADNEWS is sometimes signed with an invalid Authenticode certificate in an apparent effort to make it look more legitimate., T1116 
BOOSTWRITE has been signed by a valid CA., T1116 
ChChes samples were digitally signed with a certificate originally used by Hacking Team that was later leaked and subsequently revoked., T1116 
CopyKittens digitally signed an executable with a stolen certificate from legitimate company AI Squared., T1116 
Darkhotel has used code-signing certificates on its malware that are either forged due to weak keys or stolen., T1116 
Darkhotel has also stolen certificates and signed backdoors and downloaders with them., T1116 
Some Daserf samples were signed with a stolen digital certificate., T1116 
Ebury has installed a self-signed RPM package mimicking the original system package on RPM based systems., T1116 
Turla has used valid digital certificates from Sysprint AG to sign its Epic dropper., T1116 
FIN6 has used Comodo code-signing certificates., T1116 
FIN7 has signed Carbanak payloads with legally purchased code signing certificates., T1116 
"FIN7 has also digitally signed their phishing documents, backdoors and other staging tools to bypass security controls.", T1116 
"Gazer versions are signed with various valid certificates; one was likely faked and issued by Comodo for ""Solid Loop Ltd,"" and another was issued for ""Ultimate Computer Support Ltd.""", T1116 
GreyEnergy digitally signs the malware with a code-signing certificate., T1116 
"Helminth samples have been signed with legitimate, compromised code signing certificates owned by software company AI Squared.", T1116 
Honeybee uses a dropper called MaoCheng that harvests a stolen digital signature from Adobe Systems., T1116 
Janicab used a valid AppleDeveloperID to sign the code to get past security restrictions., T1116 
Leviathan has used stolen code signing certificates to sign malware., T1116 
LockerGoga has been signed with stolen certificates in order to make it look more legitimate., T1116 
Molerats has used forged Microsoft code-signing certificates on malware., T1116 
More_eggs has used a signed binary shellcode loader and a signed Dynamic Link Library   to create a reverse shell., T1116 
Nerex drops a signed Microsoft DLL to disk., T1116 
The NETWIRE client has been signed by fake and invalid digital certificates., T1116 
A QuasarRAT   file is digitally signed by a certificate from AirVPN., T1116 
Regin stage 1 modules for 64-bit systems have been found to be signed with fake certificates masquerading as originating from Microsoft Corporation and Broadcom Corporation., T1116 
RTM samples have been signed with a code-signing certificates., T1116 
SDelete is digitally signed by Microsoft., T1116 
Suckfly has used stolen certificates to sign its malware., T1116 
TA505 has signed payloads with code signing certificates from Thawte and Sectigo., T1116 
Winnti Group used stolen certificates to sign its malware., T1116 
4H RAT has the capability to create a remote shell., T1059 
adbupd can run a copy of cmd ., T1059 
"Following exploitation with LOWBALL malware, admin@338 actors created a file containing a list of commands to be executed on the compromised computer.", T1059 
ADVSTORESHELL can create a remote shell and run a given command., T1059 
APT1 has used the Windows command shell to execute commands., T1059 
APT18 uses cmd  to execute commands on the victim?????s machine., T1059 
APT28 uses cmd  to execute commands and custom backdoors., T1059 
"An APT3 downloader uses the Windows command ""cmd "" directory whoami.", T1059 
The group also uses a tool to execute commands on remote computers., T1059 
APT32 has used cmd  for execution., T1059 
APT37 has used the command-line interface., T1059 
"APT38 has used a command-line tunneler, NACHOCHEESE, to give them shell access to a victim?????s machine.", T1059 
APT41 used cmd  directory to execute commands on remote machines., T1059 
Astaroth spawns a CMD process to execute commands., T1059 
AuditCred can open a reverse shell on the system to execute commands., T1059 
BabyShark has used cmd  to execute commands., T1059 
"Adversaries can direct BACKSPACE to execute from the command-line on infected hosts, or have BACKSPACE create a reverse shell.", T1059 
BADNEWS is capable of executing commands via cmd ., T1059 
Bandook is capable of spawning a Windows command shell., T1059 
Bankshot uses the command-line interface to execute arbitrary commands., T1059 
BISCUIT has a command to launch a command shell on the system., T1059 
Bisonal can launch cmd  to execute commands on the system., T1059 
BLACKCOFFEE has the capability to create a reverse shell., T1059 
BONDUPDATER can read batch commands in a file sent from its C2 server and execute them with cmd ., T1059 
BRONZE BUTLER uses the command-line interface., T1059 
CALENDAR has a command to run cmd  to execute commands., T1059 
CallMe has the capability to create a reverse shell on victims., T1059 
Carbanak has a command to create a reverse shell., T1059 
Cardinal RAT can execute commands., T1059 
"Chaos provides a reverse shell connection on 8338/TCP, encrypted via AES.", T1059 
China Chopper's server component is capable of opening a command terminal., T1059 
CHOPSTICK is capable of performing remote command execution., T1059 
cmd is used to execute programs and other actions at the command-line interface., T1059 
Cobalt Group has used a JavaScript backdoor that is capable of launching cmd  to execute shell commands., T1059 
Cobalt Strike uses a command-line interface to interact with systems., T1059 
Cobian RAT can launch a remote command shell interface for executing commands., T1059 
CoinTicker executes a bash script to establish a reverse shell., T1059 
A module in CozyCar allows arbitrary commands to be executed by invoking directory, T1059 
DarkComet can launch a remote shell to execute commands on the victim?????s machine., T1059 
Daserf can execute shell commands., T1059 
Denis can launch a remote shell to execute arbitrary commands on the victim?????s machine., T1059 
Derusbi is capable of creating a remote Bash shell and executing commands., T1059 
Dipsind can spawn remote shells., T1059 
DownPaper uses the command line., T1059 
Dragonfly 2.0 used command line for execution., T1059 
Emissary has the capability to create a remote shell and execute specified commands., T1059 
Emotet has used cmd  to run a PowerShell script., T1059 
Empire uses a command-line interface to interact with systems., T1059 
Exaramel for Linux has a command to execute a shell command on the system., T1059 
Exaramel for Windows has a command to launch a remote shell and executes commands on the victim?????s machine., T1059 
Felismus uses command line for execution., T1059 
FELIXROOT opens a remote shell to execute commands on the infected system., T1059 
FIN7 used cmd  to launch commands on the victim?????s machine., T1059 
Fysbis has the ability to create and execute commands in a remote shell for CLI., T1059 
gh0st RAT is able to open a remote shell to execute commands., T1059 
Gold Dragon uses cmd  to execute commands for discovery., T1059 
Gorgon Group malware can use cmd  to download and execute payloads and to execute commands on the system., T1059 
GravityRAT executes commands remotely on the infected host., T1059 
GreyEnergy uses cmd  to execute itself in-memory., T1059 
H1N1 kills and disables services by using cmd ., T1059 
HARDRAIN uses cmd  to execute netshcommands., T1059 
"HAWKBALL has created a cmd  reverse shell, executed commands, and uploaded output via the command line.", T1059 
hcdLoader provides command-line access to the compromised system., T1059 
Helminth can provide a remote shell., T1059 
Hi-Zor has the ability to create a reverse shell., T1059 
HOMEFRY uses a command-line interface., T1059 
Several commands are supported by the Honeybee's implant via the command-line interface and there?????s also a utility to execute any custom command on an infected endpoint., T1059 
HOPLIGHT can launch cmd  to execute commands on the system., T1059 
HTTPBrowser is capable of spawning a reverse shell on a victim., T1059 
httpclient opens cmd  on the victim., T1059 
InnaputRAT launches a shell to execute commands on the victim?????s machine., T1059 
InvisiMole can launch a remote shell to execute commands., T1059 
Ixeshe is capable of executing commands via cmd., T1059 
JCry has used cmd  to launch PowerShell., T1059 
JPIN can use the command-line utility cacls  to change file permissions., T1059 
Kasidet can execute commands using cmd ., T1059 
Kazuar uses cmd  and directory to execute commands on the victim?????s machine., T1059 
Malware used by Ke3chang can run commands on the command-line interface., T1059 
KeyBoy can launch interactive shells for communicating with the victim machine., T1059 
KEYMARBLE can execute shell commands using cmd ., T1059 
Koadic can open an interactive command-shell to perform command line functions on victim machines., T1059 
KOMPROGO is capable of creating a reverse shell., T1059 
KONNI can execute arbitrary commands on the infected host using cmd ., T1059 
Lazarus Group malware uses cmd  to execute commands on victims., T1059 
Leviathan uses a backdoor known as BADFLICK that is is capable of generating a reverse shell., T1059 
LightNeuron is capable of executing commands via cmd ., T1059 
Linfo creates a backdoor through which remote attackers can start a remote shell., T1059 
Magic Hound has used the command-line interface., T1059 
Matroyshka is capable of providing Meterpreter shell access., T1059 
menuPass executes commands using a command-line interface and reverse shell., T1059 
The group has used a modified version of pentesting script wmiexec  to execute commands., T1059 
Micropsia creates a command-line shell using cmd ., T1059 
MirageFox has the capability to execute commands using cmd ., T1059 
Mis-Type uses cmd  to run commands for enumerating the host., T1059 
Misdat is capable of providing shell functionality to the attacker to execute commands., T1059 
Mivast has the capability to open a remote shell and run basic commands., T1059 
MoonWind can execute commands via an interactive command shell., T1059 
More_eggs has used cmd  for execution., T1059 
Mosquito executes cmd  and uses a pipe to read the results and send back the output to the C2 server., T1059 
MuddyWater has used a custom tool for creating reverse shells., T1059 
MURKYTOP uses the command-line interface., T1059 
NanoCore can open a remote command-line interface and execute commands., T1059 
NavRAT leverages cmd  to perform discovery techniques., T1059 
NETEAGLE allows adversaries to execute shell commands on the infected host., T1059 
njRAT can launch a command shell interface for executing commands., T1059 
OceanSalt can create a reverse shell on the infected endpoint using cmd ., T1059 
OilRig has used the command-line interface for execution., T1059 
OopsIE uses the command prompt to execute commands on the victim's machine., T1059 
Orz can execute shell commands., T1059 
OSX_OCEANLOTUS.D can run commands through a terminal on the victim?????s machine., T1059 
Patchwork ran a reverse shell with Meterpreter., T1059 
PHOREAL is capable of creating reverse shell., T1059 
Pisloader uses cmd  to set the Registry Run key value., T1059 
It also has a command to spawn a command shell., T1059 
PLAINTEE uses cmd  to execute commands on the victim?????s machine., T1059 
PlugX allows actors to spawn a reverse shell on a victim., T1059 
PoisonIvy creates a backdoor through which remote attackers can open a command-line interface., T1059 
PowerDuke runs cmd  directory and sends the output to its C2., T1059 
POWRUNER can execute commands from its C2 server., T1059 
"Proxysvc executes a binary on the system and logs the results into a temp file by usin  cmd  directory "" > directory", T1059 
Pteranodon can execute commands on the victim., T1059 
QUADAGENT uses cmd  to execute scripts and commands on the victim?????s machine., T1059 
QuasarRAT can launch a remote shell to execute commands on the victim?????s machine., T1059 
Rancor has used cmd  to execute commmands., T1059 
RATANKBA uses cmd  to execute commands., T1059 
RedLeaves can receive and execute commands with cmd ., T1059 
It can also provide a reverse shell., T1059 
Remcos can launch a remote command line to execute commands on the victim?????s machine., T1059 
Remexi silently executes received commands with cmd ., T1059 
Revenge RAT uses cmd  to execute commands and run scripts on the victim's machine., T1059 
RGDoor uses cmd  to execute commands on the victim?????s machine., T1059 
